"Cue","Letter","Position","Delay","Congruency"
"Orange","T",6,29,0
"DodgerBlue","T",-6,46,0
"DodgerBlue","T",-6,44,0
"DodgerBlue","T",-6,48,0
"DodgerBlue","T",-6,28,0
"DodgerBlue","T",-6,30,0
"DodgerBlue","T",-6,37,0
"Orange","T",6,42,0
"Orange","T",6,32,0
"DodgerBlue","T",-6,29,0
"DodgerBlue","T",-6,28,0
"Orange","T",6,32,0
"DodgerBlue","T",6,38,1
"DodgerBlue","T",-6,32,0
"Orange","T",6,36,0
"DodgerBlue","T",-6,39,0
"Orange","T",6,1,0
"DodgerBlue","T",-6,31,0
"DodgerBlue","T",-6,33,0
"DodgerBlue","T",-6,43,0
"DodgerBlue","T",-6,40,0
"Orange","T",6,42,0
"Orange","T",6,30,0
"Orange","T",6,45,0
"Orange","T",6,29,0
"DodgerBlue","T",-6,42,0
"Orange","T",6,29,0
"Orange","T",6,45,0
"Orange","T",6,39,0
"DodgerBlue","T",6,25,1
"DodgerBlue","T",-6,40,0
"DodgerBlue","T",-6,29,0
"Orange","T",6,28,0
"Orange","T",6,1,0
"Orange","T",6,1,0
"DodgerBlue","T",-6,36,0
"DodgerBlue","T",-6,44,0
"Orange","T",6,42,0
"DodgerBlue","T",-6,1,0
"DodgerBlue","T",-6,24,0
"DodgerBlue","T",-6,31,0
"DodgerBlue","T",-6,1,0
"DodgerBlue","T",-6,34,0
"DodgerBlue","T",-6,35,0
"DodgerBlue","T",6,48,1
"Orange","T",6,35,0
"Orange","T",6,26,0
"Orange","T",-6,42,1
"Orange","T",6,1,0
"Orange","T",6,26,0
"Orange","T",6,29,0
"DodgerBlue","T",-6,26,0
"Orange","T",6,33,0
"Orange","T",6,37,0
"Orange","T",-6,34,1
"Orange","T",6,44,0
"DodgerBlue","T",-6,39,0
"Orange","T",-6,37,1
"Orange","T",6,40,0
"DodgerBlue","T",6,1,1
"Orange","T",6,37,0
"DodgerBlue","T",-6,30,0
"Orange","T",6,32,0
"Orange","T",6,36,0
"Orange","T",-6,47,1
"DodgerBlue","T",-6,33,0
"Orange","T",6,32,0
"DodgerBlue","T",-6,28,0
"Orange","T",-6,27,1
"Orange","T",6,1,0
"Orange","T",6,1,0
"Orange","T",6,25,0
"Orange","T",6,46,0
"Orange","T",6,24,0
"DodgerBlue","T",-6,40,0
