5,10,2,99,7,400
5,99,99,99,2,0
4,-10,1,99,6,0
4,10,2,99,5,0
4,99,99,99,4,400
3,10,0,99,1,400
6,10,0,99,6,0
4,10,1,99,1,400
5,-10,1,99,8,0
5,-10,3,99,2,0
4,-10,3,99,4,400
6,10,1,99,8,0
4,-10,0,99,2,400
4,-10,1,99,6,0
4,99,99,99,4,400
5,10,2,99,7,400
6,-10,3,99,3,400
3,-10,1,99,2,0
3,99,99,99,3,0
6,-10,2,99,6,400
3,-10,3,99,0,400
6,10,3,99,5,400
6,-10,1,99,5,400
3,-10,0,99,6,0
4,10,0,99,8,400
4,-10,2,99,2,0
4,10,3,99,7,400
5,-10,0,99,4,0
3,99,99,99,3,0
5,99,99,99,7,0
3,10,2,99,7,400
6,10,2,99,7,0
5,10,3,99,8,400
6,99,99,99,6,400
5,10,1,99,5,0
5,99,99,99,2,0
3,10,1,99,7,0
3,-10,2,99,3,400
5,10,0,99,8,0
3,10,3,99,6,400
6,99,99,99,6,0
6,-10,0,99,6,0
5,-10,2,99,1,400
